country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Greenland,2017,Gold,Import,7341,4.878,
Guinea,2017,Gold,Import,333,0.18,8.914
Guyana,2017,Gold,Import,15853,17.016,1.944
Haiti,2017,Gold,Import,18316,13.204,14.738
"China, Hong Kong SAR",2017,Gold,Import,472590,439.83,1.481
Hungary,2017,Gold,Import,2594886,3350.094,2.408
Hungary,2017,Gold,Import,140,,2.408
Iceland,2017,Gold,Import,997997,849.289,1.761
Iceland,2017,Gold,Import,3272,0.004,1.761
Indonesia,2017,Gold,Import,12762,10.864,3.809
Iraq,2017,Gold,Import,1354,2.304,0.099
Ireland,2017,Gold,Import,5390675,4537.858,0.251
Ireland,2017,Gold,Import,17710,0.004,0.251
Israel,2017,Gold,Import,3257757,1884.127,0.242
Israel,2017,Gold,Import,6881,0.002,0.242
Italy,2017,Gold,Import,29993736,35730.654,1.326
Italy,2017,Gold,Import,2,,1.326
Italy,2017,Gold,Import,32411629,0.844,1.326
Italy,2017,Gold,Import,2115297,0.071,1.326
C̫te d'Ivoire,2017,Gold,Import,30522,25.594,
Jamaica,2017,Gold,Import,57908,79.122,4.383
Japan,2017,Gold,Import,1037203,799.986,0.468
Kazakhstan,2017,Gold,Import,184634,104.395,7.429
Jordan,2017,Gold,Import,79858,131.883,3.324
Jordan,2017,Gold,Import,165,,3.324
Kenya,2017,Gold,Import,142676,162.374,7.985
Rep. of Korea,2017,Gold,Import,112437,96.515,
Rep. of Korea,2017,Gold,Import,43,,
Kuwait,2017,Gold,Import,218883,154.95,1.507
Kuwait,2017,Gold,Import,733,0.001,1.507
Lebanon,2017,Gold,Import,564484,482.105,4.476
Lebanon,2017,Gold,Import,44006,0.001,4.476
Latvia,2017,Gold,Import,267814,240.808,2.894
Latvia,2017,Gold,Import,4059842,0.101,2.894
Liberia,2017,Gold,Import,40784,23.02,12.435
Libya,2017,Gold,Import,17874,16.368,28.473
Lithuania,2017,Gold,Import,448141,329.161,3.718
Lithuania,2017,Gold,Import,42,,3.718
Lithuania,2017,Gold,Import,102,,3.718
Luxembourg,2017,Gold,Import,2087963,1321.153,2.111
Luxembourg,2017,Gold,Import,2333934,0.047,2.111
Luxembourg,2017,Gold,Import,2894536,0.078,2.111
"China, Macao SAR",2017,Gold,Import,85282,64.192,1.227
Madagascar,2017,Gold,Import,104,0.1,8.281
Malaysia,2017,Gold,Import,73561,75.26,3.799
Malaysia,2017,Gold,Import,4638,,3.799
Malaysia,2017,Gold,Import,10535,,3.799
Maldives,2017,Gold,Import,39287,77.308,2.272
Mali,2017,Gold,Import,115192,121.276,1.764
Mali,2017,Gold,Import,4892,,1.764
Malta,2017,Gold,Import,1463307,1401.048,1.261
Malta,2017,Gold,Import,17163,0.001,1.261
Malta,2017,Gold,Import,110,,1.261
Mauritania,2017,Gold,Import,1750,1.306,2.269
Mauritius,2017,Gold,Import,258449,183.204,3.675
Mexico,2017,Gold,Import,489145,586.385,6.041
Mexico,2017,Gold,Import,3429,0.001,6.041
"Other Asia, nes",2017,Gold,Import,241946,190.74,
Montenegro,2017,Gold,Import,18501,7.07,2.373
Morocco,2017,Gold,Import,98692,57.17,0.754
Mozambique,2017,Gold,Import,44383,46.298,15.113
Oman,2017,Gold,Import,227327,150.105,1.6
Netherlands,2017,Gold,Import,42606209,45416.841,1.299
Netherlands,2017,Gold,Import,9531,0.002,1.299
Netherlands,2017,Gold,Import,3256646,0.168,1.299
Cura̤ao,2017,Gold,Import,15517,17.328,1.58
Saint Maarten,2017,Gold,Import,18994,18.36,
New Caledonia,2017,Gold,Import,108333,105.085,1.378952884835164
New Zealand,2017,Gold,Import,351954,225.506,1.854
